iter	Logloss
0	0.6756345325
1	0.6586578248
2	0.6422676671
3	0.6271138601
4	0.6128488062
5	0.5994647376
6	0.5872904058
7	0.5765829768
8	0.565824707
9	0.5552037079
10	0.5467733882
11	0.5378933364
12	0.5306322111
13	0.523191001
14	0.5158777103
15	0.5087669583
16	0.5024997749
17	0.496340669
18	0.4900947977
19	0.4848141463
20	0.4794365584
21	0.4744415516
22	0.4695556692
23	0.4653527159
24	0.4608899755
25	0.4572976284
26	0.4538439329
27	0.4502295681
28	0.4467343068
29	0.4431426227
30	0.4397841827
31	0.4366711068
32	0.4333311476
33	0.4307010836
34	0.4279744877
35	0.4254507559
36	0.4229435857
37	0.420954158
38	0.4183068427
39	0.4158843226
40	0.4138605241
41	0.4115515565
42	0.409410378
43	0.4070585984
44	0.4050035778
45	0.4030016446
46	0.4013754125
47	0.399698249
48	0.3980366783
49	0.3965124461
50	0.3946088818
51	0.3931486492
52	0.3917723095
53	0.3900186116
54	0.3887402778
55	0.3875544764
56	0.3862306828
57	0.3850683037
58	0.3835026827
59	0.3823554642
60	0.381191596
61	0.3800398852
62	0.379045195
63	0.3778733709
64	0.376806175
65	0.3757569418
66	0.3747530945
67	0.373569972
68	0.3722116681
69	0.3714260832
70	0.3705615446
71	0.3696940078
72	0.3688874708
73	0.367931295
74	0.3670253674
75	0.3661976817
76	0.3654100209
77	0.3646036566
78	0.3637266659
79	0.3630407854
80	0.3623890947
81	0.361606245
82	0.3609944734
83	0.3604106485
84	0.3598360447
85	0.3593291214
86	0.358714967
87	0.3579331285
88	0.3573071123
89	0.3567692785
90	0.3561531652
91	0.3556832668
92	0.3551811397
93	0.3546809524
94	0.3541622883
95	0.3535132062
96	0.3529237606
97	0.3524159449
98	0.3519553809
99	0.3514527835
100	0.3509975769
101	0.3501056027
102	0.3495895574
103	0.3491937875
104	0.348762847
105	0.3481812562
106	0.3478390273
107	0.3474521869
108	0.3470405199
109	0.3465289467
110	0.3460013771
111	0.3456076532
112	0.3451955577
113	0.344829905
114	0.3442957106
115	0.3438788276
116	0.3432386124
117	0.3428256786
118	0.3424959368
119	0.3420442573
120	0.3418101941
121	0.3413800553
122	0.3408239587
123	0.3404983394
124	0.3400995508
125	0.3397306211
126	0.3392964188
127	0.3389684235
128	0.3386490673
129	0.3382748265
130	0.3380291654
131	0.3377507214
132	0.3374015972
133	0.3370695794
134	0.3367405233
135	0.3362380752
136	0.3358609485
137	0.3354804382
138	0.3353174686
139	0.3348274669
140	0.3344517935
141	0.3339772887
142	0.3337781557
143	0.3335491808
144	0.3331872374
145	0.332915642
146	0.3326368381
147	0.3322851288
148	0.3319944225
149	0.3317222463
150	0.3313553207
151	0.3310191227
152	0.3308298852
153	0.3304972355
154	0.3302212228
155	0.3300070227
156	0.3295437195
157	0.3292397343
158	0.3289822836
159	0.3287960346
160	0.3284836772
161	0.3282345892
162	0.3279236579
163	0.3276282135
164	0.3273408755
165	0.3270655915
166	0.3267820495
167	0.3263848298
168	0.3260933648
169	0.3257488608
170	0.3255273133
171	0.3252238788
172	0.3250469521
173	0.3249078223
174	0.324734026
175	0.3245063353
176	0.3242923258
177	0.3239283405
178	0.3236201406
179	0.3233599643
180	0.3231019499
181	0.3229159426
182	0.3227149102
183	0.3225679892
184	0.3222967964
185	0.3220372918
186	0.3218507088
187	0.3217268232
188	0.3215465297
189	0.3213018013
190	0.3210441408
191	0.3208597982
192	0.3206208684
193	0.3203862613
194	0.3201276216
195	0.3198411027
196	0.3196123363
197	0.3194276509
198	0.3192350682
199	0.3190268866
200	0.3188247979
201	0.3186649348
202	0.3184355125
203	0.3181328581
204	0.3179850176
205	0.3177750342
206	0.3176138412
207	0.317352416
208	0.3171082612
209	0.3168862073
210	0.316668579
211	0.3164993816
212	0.3162572479
213	0.3160237459
214	0.3157485386
215	0.3155335981
216	0.3153440244
217	0.315154437
218	0.3151351425
219	0.3149563568
220	0.3147512608
221	0.31450819
222	0.3143565125
223	0.3141376906
224	0.3139043977
225	0.3137070816
226	0.3135398309
227	0.3134390981
228	0.3131555778
229	0.3129752769
230	0.312818745
231	0.3126459086
232	0.3123576961
233	0.3122618664
234	0.3119395275
235	0.3117828846
236	0.3115711234
237	0.3113341121
238	0.3111204506
239	0.3108548785
240	0.3106726555
241	0.3104336125
242	0.3102290301
243	0.30996789
244	0.3097572722
245	0.3096120281
246	0.3093643229
247	0.3091759938
248	0.3089646454
249	0.3087386217
250	0.3084717632
251	0.3082928906
252	0.3081021946
253	0.3079099421
254	0.3077315218
255	0.3075373021
256	0.3073235933
257	0.3071910222
258	0.3070869951
259	0.3068934882
260	0.3067638576
261	0.306591256
262	0.3064424562
263	0.3062678637
264	0.3061769103
265	0.3060480119
266	0.3059259564
267	0.3058259418
268	0.3056949529
269	0.3055331521
270	0.3053776544
271	0.3051476158
272	0.3049621254
273	0.3048233556
274	0.3046965964
275	0.3044887697
276	0.3042800738
277	0.3040391214
278	0.3038950057
279	0.3037518297
280	0.3035871195
281	0.3034639578
282	0.3033442944
283	0.3032553926
284	0.3031158249
285	0.3029064963
286	0.3027019209
287	0.3024882053
288	0.3023004115
289	0.302063407
290	0.3019159183
291	0.3017646392
292	0.3016116286
293	0.3013864062
294	0.3012309216
295	0.3010980523
296	0.3009639338
297	0.3007543201
298	0.3005622521
299	0.3003435196
300	0.3001464521
301	0.2999599039
302	0.2998626728
303	0.2997277243
304	0.2994652198
305	0.2992567355
306	0.2990995022
307	0.2989241743
308	0.2987366053
309	0.2985666202
310	0.2984306269
311	0.2982632315
312	0.2980237629
313	0.2979329284
314	0.2978163244
315	0.2975997953
316	0.2974501826
317	0.2972688377
318	0.2970933184
319	0.2969139997
320	0.2966275214
321	0.2964731498
322	0.2962664952
323	0.296122644
324	0.2959618793
325	0.2958592102
326	0.2957574017
327	0.2956206236
328	0.295454312
329	0.2953118535
330	0.2951506116
331	0.2950256044
332	0.2947585574
333	0.2946374449
334	0.2945165108
335	0.2943348811
336	0.2940943136
337	0.2938854475
338	0.2937224069
339	0.2935624268
340	0.2933987806
341	0.2931762622
342	0.2929583891
343	0.2928217706
344	0.292683113
345	0.2925333538
346	0.2923897342
347	0.2922173445
348	0.2920398634
349	0.2919849117
350	0.2918434924
351	0.2916553631
352	0.2915933645
353	0.2915040297
354	0.2912805867
355	0.2910573207
356	0.2908642027
357	0.2906462453
358	0.2904551494
359	0.2902007773
360	0.2900528237
361	0.2898547715
362	0.2896385387
363	0.2894757784
364	0.2893301729
365	0.2891844707
366	0.2889120631
367	0.2887337697
368	0.2885093391
369	0.2883640637
