iter	Passed	Remaining
245	1079	3308
246	1089	3321
247	1097	3326
248	1102	3326
249	1110	3330
250	1115	3329
251	1121	3330
252	1130	3338
253	1136	3338
254	1141	3335
255	1146	3331
256	1153	3335
257	1158	3331
258	1162	3326
259	1167	3322
260	1172	3318
261	1177	3316
262	1182	3312
263	1186	3308
264	1191	3304
265	1196	3300
266	1200	3295
267	1204	3290
268	1209	3286
269	1213	3282
270	1218	3277
271	1222	3272
272	1227	3268
273	1231	3262
274	1235	3257
275	1240	3255
276	1245	3250
277	1249	3245
278	1253	3239
279	1258	3235
280	1263	3231
281	1267	3227
282	1272	3223
283	1276	3218
284	1280	3211
285	1284	3206
286	1289	3203
287	1294	3199
288	1298	3194
289	1302	3189
290	1307	3184
291	1311	3179
292	1315	3173
293	1320	3170
294	1325	3166
295	1329	3161
296	1333	3157
297	1338	3154
298	1343	3148
299	1347	3144
300	1352	3140
301	1356	3135
302	1360	3130
303	1365	3125
304	1370	3122
305	1375	3119
306	1379	3114
307	1383	3108
308	1388	3105
309	1393	3100
310	1397	3096
311	1402	3091
312	1406	3087
313	1410	3082
314	1415	3077
315	1419	3072
316	1423	3067
317	1427	3062
318	1432	3058
319	1436	3053
320	1440	3047
321	1444	3042
322	1449	3037
323	1453	3032
324	1457	3027
325	1461	3022
326	1466	3019
327	1471	3013
328	1475	3009
329	1480	3004
330	1484	3000
331	1488	2994
332	1493	2991
333	1498	2987
334	1502	2982
335	1507	2978
336	1511	2974
337	1516	2970
338	1521	2966
339	1526	2962
340	1530	2958
341	1535	2954
342	1539	2948
343	1543	2944
344	1548	2939
345	1552	2935
346	1557	2930
347	1561	2925
348	1565	2920
349	1569	2915
350	1574	2910
351	1578	2906
352	1582	2900
353	1586	2895
354	1590	2890
355	1595	2885
356	1599	2880
357	1603	2876
358	1608	2872
359	1613	2868
360	1617	2863
361	1622	2859
362	1626	2854
363	1631	2850
364	1635	2845
365	1639	2840
366	1644	2836
367	1649	2831
368	1653	2827
369	1658	2823
370	1662	2819
371	1667	2814
372	1671	2809
373	1676	2805
374	1680	2800
375	1684	2795
376	1688	2790
377	1693	2786
378	1698	2782
379	1702	2778
380	1707	2773
381	1711	2768
382	1715	2763
383	1719	2758
384	1724	2754
385	1728	2749
386	1732	2744
387	1736	2739
388	1741	2734
389	1745	2729
390	1749	2725
391	1753	2720
392	1758	2716
393	1763	2711
394	1767	2707
395	1771	2702
396	1776	2698
397	1780	2693
398	1784	2688
399	1789	2684
400	1793	2679
401	1797	2674
402	1802	2669
403	1806	2665
404	1811	2661
405	1816	2656
406	1820	2652
407	1824	2647
408	1829	2642
409	1833	2638
410	1837	2633
411	1841	2627
412	1845	2623
413	1849	2618
414	1853	2613
415	1858	2608
416	1862	2603
417	1866	2598
418	1871	2594
419	1875	2589
420	1879	2584
421	1883	2579
422	1888	2576
423	1893	2571
424	1897	2566
425	1901	2562
426	1906	2558
427	1910	2553
428	1914	2548
429	1919	2544
430	1923	2539
431	1928	2535
432	1932	2530
433	1936	2526
434	1941	2521
435	1945	2516
436	1949	2511
437	1953	2506
438	1957	2501
439	1961	2496
440	1966	2492
441	1970	2487
442	1974	2482
443	1978	2477
444	1982	2472
445	1986	2467
446	1990	2462
447	1994	2456
448	1998	2452
449	2002	2447
450	2006	2442
451	2010	2437
452	2014	2432
453	2018	2426
454	2021	2421
455	2025	2416
456	2030	2412
457	2034	2407
458	2038	2402
459	2042	2397
460	2046	2392
461	2050	2387
462	2054	2382
463	2058	2377
464	2062	2373
465	2066	2368
466	2071	2363
467	2075	2358
468	2079	2354
469	2083	2349
470	2087	2345
471	2092	2340
472	2096	2335
473	2100	2331
474	2105	2326
475	2109	2322
476	2114	2318
477	2118	2313
478	2123	2309
479	2127	2304
480	2131	2300
481	2136	2295
482	2140	2291
483	2144	2286
484	2149	2282
485	2153	2277
486	2158	2273
487	2162	2269
488	2167	2264
489	2171	2259
490	2175	2254
491	2180	2251
492	2184	2246
493	2188	2241
494	2192	2236
495	2196	2232
496	2200	2227
497	2204	2222
498	2209	2218
499	2213	2213
500	2218	2209
501	2222	2205
502	2227	2201
503	2232	2196
504	2236	2192
505	2241	2188
506	2246	2184
507	2251	2180
508	2255	2176
509	2260	2172
510	2265	2167
511	2269	2163
512	2274	2159
513	2278	2154
514	2283	2150
515	2288	2146
516	2292	2141
517	2297	2137
518	2301	2133
519	2306	2128
520	2310	2124
521	2315	2120
522	2320	2116
523	2325	2112
524	2329	2107
525	2333	2103
526	2338	2098
527	2342	2094
528	2347	2090
529	2352	2085
530	2356	2081
531	2361	2077
532	2366	2073
533	2371	2069
534	2375	2065
535	2380	2060
536	2385	2056
537	2390	2052
538	2394	2048
539	2399	2044
540	2404	2039
541	2408	2035
542	2413	2031
543	2417	2026
544	2422	2022
545	2426	2017
546	2430	2013
547	2435	2008
548	2439	2004
549	2444	1999
550	2448	1995
551	2452	1990
552	2456	1985
553	2460	1981
554	2465	1976
555	2470	1972
556	2475	1968
557	2479	1963
558	2483	1959
559	2488	1954
560	2492	1950
561	2496	1945
562	2501	1941
563	2505	1937
564	2510	1932
565	2515	1928
566	2520	1924
567	2524	1920
568	2529	1915
569	2533	1911
570	2537	1906
571	2541	1901
572	2545	1897
573	2549	1892
574	2554	1887
575	2558	1883
576	2562	1878
577	2567	1874
578	2571	1869
579	2575	1865
580	2579	1860
581	2584	1856
582	2588	1851
583	2593	1847
584	2597	1842
585	2601	1838
586	2606	1833
587	2610	1829
588	2614	1824
589	2619	1820
590	2623	1815
591	2628	1811
592	2632	1807
593	2637	1802
594	2641	1797
595	2645	1793
596	2650	1789
597	2654	1784
598	2659	1780
599	2663	1775
600	2667	1771
601	2671	1766
602	2676	1762
603	2680	1757
604	2685	1753
605	2689	1748
606	2693	1744
607	2697	1739
608	2701	1734
609	2705	1730
610	2710	1725
611	2714	1720
612	2718	1716
613	2722	1711
614	2726	1706
615	2730	1702
616	2735	1697
617	2739	1693
618	2743	1688
619	2748	1684
620	2752	1680
621	2757	1675
622	2762	1671
623	2766	1667
624	2771	1662
625	2775	1658
626	2779	1653
627	2784	1649
628	2788	1644
629	2793	1640
630	2797	1636
631	2802	1631
632	2806	1627
633	2811	1622
634	2815	1618
635	2820	1614
636	2825	1610
637	2830	1606
638	2835	1602
639	2840	1597
640	2844	1593
641	2849	1588
642	2853	1584
643	2858	1580
644	2862	1575
645	2867	1571
646	2872	1567
647	2876	1562
648	2881	1558
649	2885	1553
650	2889	1549
651	2894	1544
652	2899	1540
653	2903	1536
654	2907	1531
655	2912	1527
656	2916	1522
657	2920	1518
658	2925	1513
659	2929	1509
660	2934	1505
661	2939	1500
662	2944	1496
663	2949	1492
664	2953	1487
665	2958	1483
666	2962	1479
667	2966	1474
668	2970	1469
669	2975	1465
670	2979	1460
671	2983	1456
672	2987	1451
673	2991	1447
674	2995	1442
675	3000	1437
676	3004	1433
677	3008	1428
678	3013	1424
679	3017	1420
680	3022	1415
681	3026	1411
682	3030	1406
683	3034	1402
684	3039	1397
685	3043	1393
686	3047	1388
687	3052	1384
688	3057	1379
689	3061	1375
690	3065	1370
691	3070	1366
692	3075	1362
693	3079	1357
694	3083	1353
695	3088	1348
696	3092	1344
697	3096	1339
698	3101	1335
699	3105	1330
700	3109	1326
701	3113	1321
702	3117	1317
703	3121	1312
704	3126	1308
705	3130	1303
706	3134	1298
707	3138	1294
708	3142	1289
709	3147	1285
710	3151	1281
711	3155	1276
712	3160	1272
713	3164	1267
714	3169	1263
715	3173	1258
716	3177	1254
717	3181	1249
718	3186	1245
719	3190	1240
720	3194	1236
721	3199	1231
722	3204	1227
723	3208	1223
724	3213	1218
725	3217	1214
726	3222	1209
727	3226	1205
728	3230	1200
729	3235	1196
730	3239	1192
731	3243	1187
732	3248	1183
733	3252	1178
734	3256	1174
735	3260	1169
736	3265	1165
737	3269	1160
738	3273	1156
739	3277	1151
740	3282	1147
741	3286	1142
742	3291	1138
743	3295	1133
744	3299	1129
745	3303	1124
746	3307	1120
747	3312	1115
748	3316	1111
749	3320	1106
750	3324	1102
751	3329	1098
752	3334	1093
753	3338	1089
754	3342	1084
755	3346	1080
756	3351	1075
757	3355	1071
758	3359	1066
759	3364	1062
760	3368	1057
761	3372	1053
762	3376	1048
763	3381	1044
764	3385	1039
765	3389	1035
766	3393	1030
767	3398	1026
768	3402	1021
769	3406	1017
770	3410	1012
771	3414	1008
772	3418	1003
773	3422	999
774	3426	994
775	3431	990
776	3435	985
777	3439	981
778	3443	977
779	3447	972
780	3452	968
781	3456	963
782	3461	959
783	3466	955
784	3471	950
785	3476	946
786	3480	942
787	3485	937
788	3490	933
789	3494	928
790	3499	924
791	3504	920
792	3508	915
793	3513	911
794	3518	907
795	3523	903
796	3529	898
797	3534	894
798	3539	890
799	3544	886
800	3548	881
801	3553	877
802	3558	872
803	3562	868
804	3567	864
805	3572	859
806	3576	855
807	3581	851
808	3585	846
809	3590	842
810	3594	837
811	3599	833
812	3604	829
813	3609	824
814	3613	820
815	3618	815
816	3622	811
817	3627	807
818	3631	802
819	3636	798
820	3641	794
821	3646	789
822	3650	785
823	3655	780
824	3660	776
825	3664	771
826	3668	767
827	3672	762
828	3676	758
829	3681	753
830	3685	749
831	3690	745
832	3694	740
833	3698	736
834	3702	731
835	3706	727
836	3711	722
837	3715	718
838	3719	713
839	3723	709
840	3728	704
841	3732	700
842	3736	695
843	3740	691
844	3745	686
845	3749	682
846	3753	678
847	3758	673
848	3762	669
849	3766	664
850	3771	660
851	3775	655
852	3780	651
853	3784	647
854	3789	642
855	3794	638
856	3798	633
857	3803	629
858	3808	625
859	3813	620
860	3817	616
861	3822	611
862	3826	607
863	3831	603
864	3836	598
865	3841	594
866	3846	590
867	3851	585
868	3855	581
869	3860	576
870	3864	572
871	3869	567
872	3874	563
873	3879	559
874	3884	554
875	3888	550
876	3893	546
877	3899	541
878	3904	537
879	3909	533
880	3913	528
881	3919	524
882	3924	520
883	3929	515
884	3934	511
885	3938	506
886	3943	502
887	3947	497
888	3952	493
889	3956	488
890	3960	484
891	3964	480
892	3969	475
893	3973	471
894	3977	466
895	3981	462
896	3985	457
897	3990	453
898	3994	448
899	3999	444
900	4003	439
901	4007	435
902	4011	430
903	4015	426
904	4019	421
905	4023	417
906	4027	413
907	4032	408
908	4036	404
909	4040	399
910	4045	395
911	4049	390
912	4053	386
913	4057	381
914	4062	377
915	4066	372
916	4071	368
917	4075	364
918	4079	359
919	4083	355
920	4087	350
921	4092	346
922	4096	341
923	4100	337
924	4104	332
925	4108	328
926	4112	323
927	4117	319
928	4121	314
929	4125	310
930	4129	306
931	4133	301
932	4137	297
933	4141	292
934	4146	288
935	4150	283
936	4154	279
937	4158	274
938	4162	270
939	4167	265
940	4171	261
941	4175	257
942	4179	252
943	4183	248
944	4187	243
945	4191	239
946	4196	234
947	4200	230
948	4205	226
949	4210	221
950	4215	217
951	4221	212
952	4225	208
953	4230	203
954	4235	199
955	4240	195
956	4245	190
957	4249	186
958	4255	181
959	4259	177
960	4264	173
961	4269	168
962	4274	164
963	4279	159
964	4283	155
965	4287	150
966	4292	146
967	4296	142
968	4301	137
969	4305	133
970	4310	128
971	4314	124
972	4319	119
973	4324	115
974	4329	111
975	4340	106
976	4347	102
977	4352	97
978	4356	93
979	4361	89
980	4366	84
981	4371	80
982	4376	75
983	4381	71
984	4386	66
985	4393	62
986	4399	57
987	4404	53
988	4409	49
989	4413	44
990	4418	40
991	4423	35
992	4427	31
993	4431	26
994	4436	22
995	4441	17
996	4446	13
997	4451	8
998	4456	4
999	4461	0
